Year,Real GDP per capita 
1894,4373.3398
1895,4465.9199
1896,4602.2998
1897,4601.2598
1898,4791.23
1899,4921.6099
1900,4870.75
1901,4930.29
1902,4958.0801
1903,4859.2402
1904,4876.4902
1905,4990.8398
1906,5064.96
1907,5115.8198
1908,4888.0298
1909,4955.3501
1910,5067.0698
1911,5179.96
1912,5245.1699
1913,5441.6499
1914,5485.5601
1915,5722.2202
1916,5782.3599
1917,5746.9302
1918,5858.5298
1919,5422.9302
1920,5058.5601
1921,4528.75
1922,4737.4399
1923,4848.0498
1924,5033.0098
1925,5192.1001
1926,5005.73
1927,5365.4302
1928,5380.23
1929,5515.9302
1930,5436.5801
1931,5154.6699
1932,5130.71
1933,5274.4502
1934,5573.46
1935,5753.7402
1936,5998.1699
1937,6175.02
1938,6195.2402
1939,6434.8301
1940,7012.0098
1941,7665.2598
1942,7762.79
1943,7815.52
1944,7439.6802
1945,7066.1401
1946,6894.6201
1947,6756.8198
1948,6906.1299
1949,7098.3999
1950,7301.4302
1951,7615.29
1952,7715.1602
1953,8117.27
1954,8438.96
1955,8732.1904
1956,8832.1201
1957,8956.0303
1958,9032.5303
1959,9349.9297
1960,9854.6299
1961,10026.64
1962,10040.47
1963,10463.46
1964,10965.48
1965,11122.6
1966,11231.22
1967,11474.64
1968,12045.96
1969,12224.58
1970,12521.6
1971,12895.95
1972,13384.1
1973,14215.1
1974,13858.58
1975,13648.77
1976,14045.77
1977,14391.65
1978,14989.37
1979,15522.56
1980,15170.12
1981,15034.56
1982,15359.88
1983,16004.08
1984,16342.17
1985,16982.9
1986,17479.17
1987,18381.65
1988,19409.699
1989,19862.65
1990,19954.029
1991,19668.52
1992,19672.33
1993,20104.971
1994,20813.869
1995,21249.51
1996,21711.93
1997,22305.119
1998,23031.199
1999,23753.75
2000,24402.141
2001,25021.18
2002,25549.5
2003,26341.619
2004,26777.699
2005,27284.439
2006,27669.109
2007,28236.949
2008,27766.17
2009,26453.211
2010,26774.529
2011,26914.74
2012,27206.471
2013,27544.32
2014,28256.801
2015,28692.971
2016,28982.27
